conference,title,description,company
Big Data 2020,Redis: a Multi-Model DB for IoT and Beyond,"An overview of Redis, an open-source multi-model NoSQL DB as a foundation for Big Data projects in the Internet of Things ecosystem and beyond. After a short introduction to Redis, its multi-model capabilities are discussed which make this popular open-source DB a top choice for unstructured data typically found in IoT environments, ranging from simple JSON data to complex graph and timeseries requirements. A few real-world use cases round off this presentation.",Redis Labs
Big Data 2020,Graph Processing for Open Metadata and Governance,Learn how ODPi Egeria uses its distributed virtual graph to connect metadata about an enterprise’s data and IT services from many different tools and then apply governance across this landscape. In this talk we will describe the principles behind the distributed virtual graph and how different technologies can connect in. We will also cover how the JanusGraph technology can be used to fill in the gaps between the tools to ensure the metadata is linked together.,ODPi Egeria & IBM
Big Data 2020,Data Governance From an Engineering Perspective,"For a long time, data governance seemed to me like an empty phrase meaning everything and nothing at the same time. Valdas was on the fence, not sure how to approach it from an engineering perspective.",IT Architect Specializing in Data Analytics and Cloud Computing
Big Data 2020,Introduction to FLaNK Stack,"Introducing the FLaNK stack which combines Apache Flink, Apache NiFi, Apache Kafka and Apache Kudu to build fast applications for IoT, AI, rapid ingest. FLaNK provides a quick set of tools to build applications at any scale for any streaming and IoT use cases.",Cloudera
Big Data 2020,Best Practices for Building Streaming Data Architectures,"The era of big data is over since everybody is a big data company these days. While this sounds super exciting in theory most companies seem to struggle in transforming this characteristic into something that really provides value. To address this problem a new architectural style have been used and it is called streaming data architecture. This architecture style allows companies to harness the power of data by ingesting, storing, and processing data as they happen and at scale to fuel modern analytics based applications.",Elastic
Big Data 2020,Kafka as a Platform: the Ecosystem from the Ground Up,"Kafka has become a key data infrastructure technology, and we all have at least a vague sense that it is a messaging system, but what else is it? How can an overgrown message bus be getting this much buzz? Well, because Kafka is merely the center of a rich streaming data platform that invites detailed exploration. In this talk, we’ll look at the entire streaming platform provided by Apache Kafka and the Confluent community components. Starting with a lonely key-value pair, we’ll build up topics, partitioning, replication, and low-level Producer and Consumer APIs. We’ll group consumers into elastically scalable, fault-tolerant application clusters, then layer on more sophisticated stream processing APIs like Kafka Streams and ksqlDB. We’ll help teams collaborate around data formats with schema management. We’ll integrate with legacy systems without writing custom code. By the time we’re done, the open-source project we thought was Big Data’s answer to message queues will have become an enterprise-grade streaming platform, all in 45 minutes.",Confluent
Big Data 2020,In the Shallow with AI,"As AI technologies continue to integrate and transform our society and organisations, questions around how these augment with human intelligence continues to be of much interest. Many have recognised the need for ‘humans-in-the-loop’ in AI, but most of these efforts have focused on eliciting human interventions at various points in the machine learning process rather than leveraging human ingenuity.In this session we’ll briefly look at:
* The role of objective and subjective data, and how these influence data-driven insights;
* ‘Trans-contextual’ information and the implications for AI; and
* How human ingenuity and adaptability can play an important role in mitigating the unintended and unwanted consequences of AI.",Phoensight
Big Data 2020,5 Pillars of User-Centric Analytics,"How one team created a user-centric analytics program that revolutionized data consumption across the company.
Some consider analytics the dark art of digital transformation. The truth is that, done right, analytics can illuminate the darkest corners of business.Analytics team have seen the power of analytics in action, one that brings the process of creating a truly user-centric analytics program into the light. Today, the team runs an analytics program that aligns with critical areas of decision-making within the company and empowers users with powerful decision-making capabilities every single day.
Join the session to learn more and how to apply the successful analytics strategy to your own organization(s).",ServiceNow
Big Data 2020,"Data Versioning, What Does it Mean?","The demand for better versioning of data is growing. There are a plethora of open source projects providing “data versioning”, “Git for data” and “manage data like code” capabilities (e.g Hudi, DoltHub,, Delta Lake, DVC, Pachyderm, and lakeFS). So how do you know you are choosing the right one? In this talk we will go over the difference between these solutions by clustering them according to 4 main use cases:
1. Collaboration over data: enabling teams to collaborate over data over time, while contributing to the data evolution.
2. Managing ML pipelines: allowing pipeline management of ML projects, from model creation to production.
3. The need for mutability: data formats that grant Insert, Update and delete over an immutable object storage.
4. The need for ACID guarantees over an object storage data lake: using branching logic to manage an object storage based data lake. By the end of the talk, you should have a good understanding of how these solutions compare and which you should choose for different types of use cases. ",Code4Thought
Big Data 2020,"Predicting Cryptocurrency Exchange Rates with Stream Processing, Social Data and Online Learning",Designing a system to cope with loads of billions of events is harder than it seems. In this talk the presenter will go through the most common use cases and pitfalls and provide tips and good practices about how to design systems to avoid them.,Schibsted
Big Data 2020,Azure Synapse Analytics Overview,"Azure Synapse Analytics is Azure SQL Data Warehouse evolved: a limitless analytics service that brings together enterprise data warehousing and Big Data analytics into a single service. It gives you the freedom to query data on your terms, using either serverless on-demand or provisioned resources, at scale. Azure Synapse brings these two worlds together with a unified experience to ingest, prepare, manage, and serve data for immediate business intelligence and machine learning needs. In this presentation, James will talk about the new products and features that make up Azure Synapse Analytics and how it fits in a modern data warehouse, as well as provide demonstrations.",Microsoft
Big Data 2020,Interactive BI Analytics with Presto,"Presto, an open source distributed SQL engine, is widely recognized for its low-latency queries, high concurrency, and native ability to query multiple data sources. Proven at scale in a variety of use cases at Airbnb, Facebook, LinkedIn, Lyft, Netflix, Twitter, and Uber, in the last few years Presto experienced an unprecedented growth in popularity in both on-premises and cloud deployments over Object Stores, HDFS, NoSQL and RDBMS data stores. From the start, Presto was targeting interactive BI analytics involving heterogeneous data sources. Recent improvements like aggregation pushdown, dynamic filtering, data masking and supporting new data sources including Druid, Delta Lake and Elasticsearch, pushed that use case to the next level. During the talk Lukasz and Karol will give a quick introduction to Presto in general, as well as some of its advanced features. They will show a demo, how it works in practice. In addition, they will demonstrate how to integrate different data sources in a data protected environment",Starburstdata
Big Data 2020,Designing and Building Data Science Solutions,The ability to apply data science and AI to business challenges can be impactful and exciting. Yet getting started can be daunting: how best to plan a project in order to ensure success can be unclear. Jon and Neri will share their learnings about sensible approaches to designing data science projects and present a framework that they have found to be useful in giving projects the best chance for success. This talk will largely mirror the material that appears in their book by the same title at https://datasciencedesign.com/.,Spot Intelligence
Big Data 2020,Adding AI Cloud Services to Your On-Prem Data Workflows for NLP & Content Enrichment,"Getting data out of data sources and into your favourite search engine or storage system is often one of the first challenges you face in any data project. There are some ETL tools out there that help you face that issue and consequently there are a lot of data pipelines that are run on-premise: Either based on open source software like Apache NiFi or commercial products. These tools usually offer a variety of transformations but are very limited when it comes to working with unstructured data and enriching that data. However, establishing a process for analysing and enriching unstructured data can be extremely tedious: You need the right persons (e.g. machine learning engineers, data scientists, natural language processing experts), a lot of annotated training and test data, computational power for training machine learning models etc. Cloud services to the rescue! In this presentation Daniel will show how on-premise data processing or indexing pipelines can be extended by cloud services to get more out of your unstructured data while bypassing all the above-mentioned challenges saving time and money.",SHI GmbH
Big Data 2020,From the Earth to the Moon: Lessons from the Space Race to Apply in Machine Learning Projects,"“The space race was a EEUU – Soviet Union competition to conquer the space. This competence helped to develop space technology in an incredible manner, developing other derivative technologies as a side effect.
This race was full of success in both sides, achieving goals that seemed impossible in record time.
From this space race we can learn some lessons that we can apply to our Machine Learning projects to have a bigger success rate in a limited amount of time.”",RavenPack
Big Data 2020,Analyzing Public Data About User Queries on Search Engine to Predict Trends and Evaluate Markets,"Keywords and queries from search engine public data continue to be a beautiful window into people's interests. If we want to use words as an interest analysis tool, however, we need to analyze large volumes of data and manual analysis can be expensive and inaccurate. We Will go through this topic starting from how retrieve data and how to analyze these data with some NLP libraries. ",ByTek
Big Data 2020,"The GDPR Challenges to Big Data, and How to Overcome Them","The GDPR poses real limits on how personal data can be used, but it does not mean the end of data markets, data analysis and data exchange, but the methods to fuel this will radically change. During this talk, Silvan Jongerius, expert in GDPR compliance for technology will explain the obvious and not so obvious challenges of GDPR in big data, and look at different approaches to overcome them. Privacy innovation can help big data businesses to reach their goals without breaking any rules.",TechGDPR
Big Data 2020,Real-Time Streaming with Python ML Inference,"The capabilities of machine learning are now pretty well understood and there are great tools to do data science and construct models that answer nontrivial questions about your data. These tools are often used from Python. The key new challenge is making the trained prediction model usable in real time, while the user is interacting with your software. Getting answers from an ML model takes a lot of CPU/GPU and must be done at serious scale. The ML tools are optimized mainly for batch-processing a lot of data at once, and often the implementations aren’t parallelized. In this talk Marko will show one approach which allows you to write a low-latency, auto-parallelized and distributed stream processing pipeline in Java that seamlessly integrates with a data scientist’s work taken in almost unchanged form from their Python development environment. The talk includes a live demo using the command line and going through some Python and Java code snippets.",Hazelcast
Big Data 2020,ML in Production - Serverless and Painless,"Productionising machine learning pipelines can be a daunting and difficult task for Data Scientists. Fortunately, many novel tools and technologies have become available in the past years to address this issue and make it easier than ever to deploy ML models into production, without the need to configure servers. In this session, Oliver will walk through some of the best serverless options on how to operationalize ML pipelines within the Tensorflow ecosystem and on Google Cloud Platform, based on actual case studies. One of these real-life case studies will dive into the journey of a global cosmetics brand to become packaging-free with the help of ML. The first step towards this goal allows customers to view product information simply by taking a picture. This completely eliminates the need for packaging and labels in stores. However, in order to do this effectively, an accurate image classification model, accessible on mobile phones, is needed. This session will cover the details of the end-to-end machine learning pipeline that was created to deliver and update performance ML models to mobile users.",Datatonic
Big Data 2020,Advanced Analytics in the Industry,"What is the scope in the data use industry? Different views on it are presented in Industry 4.0 Congress; from the description of the power of an artificial intelligence project presented by Gradiant, to real-time decision-making with the experience of Ibermática and its vision of improving OEE based on data. There will be presented also two selected cases from diverse sectors such as the automotive industry (DRAXTON-NAITEC case) or drug design (Phenobyte) that will highlight the importance of having powerful data engineering and enrich the listener’s experience.",GRADIANT
