title,description,company
A Practical-ish Introduction to Data Science,"Data Science has been described as the sexiest job of the 21st Century. But what is Data Science? And what has Machine Learning got to do with all of this?
In this talk, Mark will share insights and knowledge that he has gained from building up a Data Science department from scratch.","Bouvet Norge AS, Norway"
You can AI like an Expert,"The talk will discuss Wolfram’s progress towards an entirely automated workflow for machine learning that makes it possible for anyone who can code to make use of AI methods.

The talk will assume no knowledge of machine learning and will introduce key concepts before showing how to use the Wolfram Language to create advanced predictors from scratch, in seconds. Use will be made of the Wolfram Language functions Predict and Classify which automate the process of data encoding, feature extraction, method selection, training, end decoding. The net result is a single function that produces a ready-to-use classifier or predictor, directly from raw data.","Wolfram Research Europe Ltd., UK"
Deep Learning for Lazy People... Neural Architecture Search with Automated Machine Learning,"Deep Learning models are great, but choosing the right architecture is not easy. Many times, the easiest way of getting the best architecture is just by trying.
It would be nice to have a clairvoyant that is able to tell us the best architecture, right? We cannot have a clairvoyant but we have tools, like Automated Machine Learning, that are able to find the best architectures just with a few lines of code.","RavenPack, Spain
"
Predicting the Moment of Birth using Sensor Data in Dairy Cows,"Stillbirth, defined as calves that die during unobserved birth is often seen as an indicator of lowered animal welfare in dairy cows. Sensors have been proposed as a tool to support dairy farmers but accurate calving prediction models are often lacking. In this session, a machine learning data pipeline will be described using the spark ML framework. Heavy lifting and feature preparation for sensor data from 1331 cows on 8 herds from 21 days before until the day of calving was performed using sliding windows and time series analysis.","Utrecht University, The Netherlands"
Knowledge and AI Powering Microsoft & Office 365 Products,"Knowledge, Data and AI have been reshaping the way we live and work for the past few years, and the fact is that this is just the beginning. ","Microsoft, USA"
Practical Data Science - How to Track Your Development Process with DVC,"Datacentric applications utilising machine learning models have evolved into common solutions. Many projects however still suffer from a lack of good patterns and practices, when developing such powerful technologies.","codecentric AG, Germany"
(Un)ethical Artificial Intelligence: How to Keep the AI Fair for Everyone,"This presentation highlights the current ethical problems that we face while building artificial intelligence solutions. The artificial intelligence systems based on machine learning algorithms are entering our products at an increasing rate. Unfortunately, keeping these systems fair is hard and a lot of hidden biases enter the models, even if the developers had the best intentions. We will investigate some of the failures of the AI systems and explore ways how to keep them fair for everyone.","Vinted, Lithuania"
"Secure IoT Command, Control, and Exfil with Apache MiNiFi","Apache MiNiFi is a lightweight application which can be deployed on hardware orders of magnitude smaller and less powerful than the existing standard data collection platforms. Not only can this data be prioritized and have some initial analysis performed at the edge, it can be encrypted and secured immediately. Local governance and regulatory policies can be applied across geopolitical boundaries to conform with legal requirements.","Cloudera, USA"
Big Data Legal Issues. GDPR and Contracts,Big Data legal issues. GDPR and contracts.,"Legal IT Group, Ukraine"
"Predicting Cryptocurrency Exchange Rates with Stream Processing, Social Data and Online Learning","In a recent project, iunera sought to determine if it is possible to predict crypto currency exchange rates by utilizing social data from Twitter. Tim will talk about their experiences and describe how they leveraged online learning in conjunction with social data to determine if they are able to predict future currency exchange rates.","iunera GmbH & Co. KG, Germany"
Routing Billions of Events a Day: How we Do Routing in Schibsted,"In this talk Carlos will present how his team in Schibsted have set up a streaming data platform using cloud technologies, Kafka and Kafka streams. Schibsted is a leader in media and online classifieds in the Nordic market, delivering news to most of the population of Scandinavia. The streaming platform aims to simplify data management, providing a single point to manage data streams independently of data types. It includes a data quality solution, a data registration solution and a routing solution. Kafka is used as the backbone of the system and the routing solution is built on top of it. Kafka streams is used downstream to enrich streams","Schibsted, Norway"
How can Artificial Intelligence use Big Data for Translating Documents?,"In this session, John will walk us through the exciting world of machine translation. Specifically, he will show us how documents, known as corpora, filled with information from various sources can be used to provide artificial intelligence to a translation system. He will cover the evolution of statistical and neural-based translation systems and how they are currently used to achieve a superior translation quality compared to their predecessors.","New York University, USA"
